xNi,P/W,v/mm/s,t/um,h/um,Ev/J.mm-3,Es/J.mm-2,El/J.mm-1,RA,D/um,Oxygen/ppm,RelativeDensity/%,UTS/MPa,EL/%,SIM-SMR/MPa,Ms/K,Af/K,Hysteresis/K,type
50.6,120,800,30,60,83,5,0.2,57,100,25,99.6,534.3,13.4,126.1,291.4,312.2,20.8,7
50.6,120,800,30,70,71,5,0.2,57,100,25,99.5,544.4,19,151.4,289.2,309.9,20.6,7
50.6,120,800,30,80,62.5,5,0.2,57,100,25,99.6,576.2,19.1,181.3,287.1,306.2,19.1,7
50.6,120,800,30,90,55,5,0.2,57,100,25,99.7,561.4,18.2,195.5,285.4,305.4,20,7
50.6,120,800,30,100,50,5,0.2,57,100,25,99.6,497.1,18.7,220.7,286.4,305.4,18.9,7
50.6,120,800,30,110,45,5,0.2,57,100,25,99.7,618.8,19.5,219.1,286.6,305.7,19.1,7
50.6,150,1100,30,64,71,4.5,0.1,67,100,1000,98.4,827,7.8,294.5,294.5,336.4,41.9,8
50.6,150,1100,30,77,59,4.5,0.1,67,100,1000,98.5,839,7.9,292.5,291.6,322.5,30.9,8
50.6,150,1100,30,90,50.5,4.5,0.1,67,100,1000,98,758,6.9,358.4,280.4,298.4,18,8
50.6,150,1100,30,103,44.1,4.5,0.1,67,100,1000,97.9,541,5.4,391.3,285.8,309.2,23.4,8
50.6,150,1100,30,115,39.5,4.5,0.1,67,100,1000,97.5,502,5.8,360.6,280.2,300,19.8,8
50.4,150,1100,30,120,37.9,4.5,0.1,67,100,200,,,,,294.3,319,24.7,9
50.4,175,1100,30,120,44.2,5.3,0.2,67,100,200,,,,,280.4,300.2,19.8,9
50.4,150,900,30,120,46.3,5.6,0.2,67,100,200,,,,,283.1,290.1,7,9
50.4,150,800,30,120,52.1,6.3,0.2,67,100,200,,,,,292.7,318.5,25.7,9
50.4,200,1000,30,120,55.6,6.7,0.2,67,100,200,,,,,296,319,23.1,9
50.4,175,800,30,120,60.8,7.3,0.2,67,100,200,,,,,291.7,315.3,23.6,9
50.4,150,600,30,120,69.4,8.3,0.3,67,100,200,,,,,296.5,321.7,25.2,9
50.4,250,900,30,120,77.2,9.3,0.3,67,100,200,,,,,299.7,331.9,32.2,9
50.4,200,700,30,120,79.4,9.5,0.3,67,100,200,,,,,301.3,332.4,31.1,9
50.4,225,700,30,120,89.3,10.7,0.3,67,100,200,,,,,300.8,331.4,30.6,9
50.4,250,700,30,120,99.2,11.9,0.4,67,100,200,,,,,299.2,327.6,28.4,9
50.4,225,600,30,120,104.2,12.5,0.4,67,100,200,,,,,298.6,328.7,30,9
50.4,150,1100,30,120,37.9,4.5,0.1,67,100,200,99.62,660.1,6.6,253.3,294.5,,,9
50.4,150,900,30,120,46.3,5.6,0.2,67,100,200,99.84,651.9,7.6,264,283.2,,,9
50.4,200,1000,30,120,55.6,6.7,0.2,67,100,200,99.86,801.3,7.6,277.4,293.9,,,9
50.4,200,800,30,120,69.4,8.3,0.3,67,100,200,99.78,631.9,7.6,221.5,296.6,,,9
50.4,200,700,30,120,79.4,9.5,0.3,67,100,200,99.82,744.9,8.4,190.8,301.3,,,9
50.4,250,700,30,120,99.2,11.9,0.4,67,100,200,99.88,588.7,7.1,192.8,299.6,,,9
50.6,225,1000,30,60,125,7.5,0.2,36,100,250,96.03,,,,,,,10
50.6,250,1000,30,60,138.9,8.3,0.3,36,100,250,97.21,,,,,,,10
50.6,275,1000,30,60,152.8,9.2,0.3,36,100,250,96.69,,,,,,,10
50.6,250,1000,30,60,138.9,8.3,0.3,36,100,250,97.2,,,,,,,10
50.6,250,1100,30,60,126.3,7.6,0.2,36,100,250,97.48,,,,,,,10
50.6,250,1200,30,60,115.7,6.9,0.2,36,100,250,98.82,,,,,,,10
50.6,250,1300,30,60,106.8,6.4,0.2,36,100,250,96.33,,,,,,,10
50.6,250,1400,30,60,99.2,6,0.2,36,100,250,95.17,,,,,,,10
50.4,70,120,30,100,194.4,19.4,0.6,90,100,250,,,,,312.5,,,4
50.8,80,330,40,80,75.8,6.1,0.2,90,80,500,99.07,,,,299,327.9,28.9,11
50.8,160,830,40,80,60.2,4.8,0.2,90,80,500,100,471,8.6,186.9,274.9,298.8,23.9,11
50.8,160,1080,40,70,52.9,3.7,0.1,90,80,500,99.86,623,9.7,204.4,275.2,301,25.8,11
50.8,240,1330,40,80,56.4,4.5,0.2,90,80,500,98.58,454,9.7,151.8,274.6,302.3,27.7,11
50.8,120,330,40,130,69.9,9.1,0.4,90,80,500,94.28,,,166,290.8,320.4,29.6,11
50.8,160,580,40,110,62.7,6.9,0.3,90,80,500,96.97,,,,274.6,293.9,19.2,11
50.8,200,830,40,100,60.2,6,0.2,90,80,500,98.42,,,,269.3,296.3,27,11
50.8,200,1080,40,80,57.9,4.6,0.2,90,80,500,98.44,461,9.2,166,270.2,297.6,27.4,11
50.1,80,330,40,80,75.8,6.1,0.2,90,80,500,98.25,,,,331.7,363.1,31.4,11
50.1,160,830,40,80,60.2,4.8,0.2,90,80,500,99.25,627,15,147.8,317.8,349.9,32.1,11
50.1,160,1080,40,70,52.9,3.7,0.1,90,80,500,97.49,649,12.1,159.4,318.7,350.4,31.7,11
50.1,240,1330,40,80,56.4,4.5,0.2,90,80,500,99.33,605,13.5,147.8,319.6,350.5,30.9,11
50.1,120,330,40,130,69.9,9.1,0.4,90,80,500,96.13,,,144.5,328,362.6,34.6,11
50.1,160,580,40,110,62.7,6.9,0.3,90,80,500,97.04,,,,320.1,351.8,31.7,11
50.1,200,830,40,100,60.2,6,0.2,90,80,500,99.26,,,,319.2,349.5,30.3,11
50.1,200,1080,40,80,57.9,4.6,0.2,90,80,500,100,632,15.7,144.5,318.6,350.7,32.1,11
50.8,65,297,40,100,54.7,5.5,0.2,90,80,500,,,,,302.4,327.2,24.8,11
50.8,96,297,40,100,80.8,8.1,0.3,90,80,500,,,,,300.4,327.2,26.8,11
50.8,65,200,40,100,81.3,8.1,0.3,90,80,500,,,,,309,338.3,29.3,11
